InstanceType,GpuType,GpuCount,NVlink,GpuInfo
A100_80G_SXM4_1x,A100_80G_SXM4,1,FALSE,"{'name': 'A100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 81920}}"
A100_80G_SXM4_2x,A100_80G_SXM4,2,FALSE,"{'name': 'A100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 163840}}"
A100_80G_SXM4_4x,A100_80G_SXM4,4,FALSE,"{'name': 'A100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 327680}}"
A100_80G_SXM4_8x,A100_80G_SXM4,8,FALSE,"{'name': 'A100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 655360}}"
A100_40G_PCIE_1x,A100_40G_PCIE,1,FALSE,"{'name': 'A100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 81920}}"
A100_40G_SXM4_1x,A100_40G_SXM4,1,FALSE,"{'name': 'A100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 81920}}"
A100_80G_PCIE_2x,A100_40G_PCIE,2,FALSE,"{'name': 'A100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 327680}}"
A100_80G_SXM4_2x,A100_40G_SXM4,2,FALSE,"{'name': 'A100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 327680}}"
A100_160G_PCIE_4x,A100_40G_PCIE,4,FALSE,"{'name': 'A100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 327680}}"
A100_160G_SXM4_4x,A100_40G_SXM4,4,FALSE,"{'name': 'A100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 327680}}"
A100_320G_SXM4_8x,A100_40G_SXM4,8,FALSE,"{'name': 'A100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 655360}}"
H100_80G_SXM5_1x,H100_80G_SXM5,1,FALSE,"{'name': 'H100 SXM5','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 81920}}"
H100_640G_SXM5_8x,H100_80G_SXM5,8,FALSE,"{'name': 'H100 SXM5','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 655360}}"
H100_80GB_SXM_1x,H100_80GB_SXM,1,FALSE,"{'name': 'H100 SXM','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 81920}}"
H100_80GB_SXM_8x,H100_80GB_SXM,8,FALSE,"{'name': 'H100 SXM','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 81920}}"
n3-L40x1,L40,1,FALSE,"{'name': 'L40','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 49152}}"
n3-L40x2,L40,2,FALSE,"{'name': 'L40','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 98304}}"
n3-L40x4,L40,4,FALSE,"{'name': 'L40','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 196608}}"
n3-L40x8,L40,8,FALSE,"{'name': 'L40','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 393216}}"
n2-RTX-A4000x1,RTX-A4000,1,FALSE,"{'name': 'RTX A4000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 16384}}"
n2-RTX-A4000x2,RTX-A4000,2,FALSE,"{'name': 'RTX A4000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 32768}}"
n2-RTX-A4000x4,RTX-A4000,4,FALSE,"{'name': 'RTX A4000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 65536}}"
n2-RTX-A4000x8,RTX-A4000,8,FALSE,"{'name': 'RTX A4000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 131072}}"
n2-RTX-A4000x10,RTX-A4000,10,FALSE,"{'name': 'RTX A4000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 163840}}"
n2-RTX-A5000x1,RTX-A5000,1,FALSE,"{'name': 'RTX A5000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 24576}}"
n2-RTX-A5000x2,RTX-A5000,2,FALSE,"{'name': 'RTX A5000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 49152}}"
n2-RTX-A5000x4,RTX-A5000,4,FALSE,"{'name': 'RTX A5000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 98304}}"
n2-RTX-A5000x8,RTX-A5000,8,FALSE,"{'name': 'RTX A5000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 196608}}"
n1-RTX-A6000x1,RTX-A6000,1,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 49152}}"
n1-RTX-A6000x2,RTX-A6000,2,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 98304}}"
n1-RTX-A6000x4,RTX-A6000,4,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 196608}}"
n1-RTX-A6000x8-a,RTX-A6000,8,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 393216}}"
n3-RTX-A6000x1,RTX-A6000,1,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 49152}}"
n3-RTX-A6000x2,RTX-A6000,2,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 98304}}"
n3-RTX-A6000x4,RTX-A6000,4,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 196608}}"
n3-RTX-A6000x8,RTX-A6000,8,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 393216}}"
n1-RTX-A6000-ADAx1,RTX-A6000-ada,1,FALSE,"{'name': 'RTX A6000 Ada','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 49152}}"
n1-RTX-A6000-ADAx2,RTX-A6000-ada,2,FALSE,"{'name': 'RTX A6000 Ada','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 98304}}"
n1-RTX-A6000-ADAx4,RTX-A6000-ada,4,FALSE,"{'name': 'RTX A6000 Ada,'manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 196608}}"
